"","temp","dt","replicate","condition","temp.fluct","peak.time","peak.titer","vir.rate","inf.rate"
"1",18,4,1,"baseline",0,24,1995262,11971572,0.0416666666666667
"2",20,3,1,"baseline",0,21,1995262,15962096,0.0476190476190476
"3",22,3,1,"baseline",0,12,8413951.416,67311611.328,0.0833333333333333
"4",28,1,1,"baseline",0,6,84139514,2019348336,0.166666666666667
"5",30,1,1,"baseline",0,5,63095734,1514297616,0.2
"6",32,1,1,"baseline",0,5,47315126,1135563024,0.2
"7",18,4,2,"baseline",0,28,2660725,15964350,0.0357142857142857
"8",20,3,2,"baseline",0,21,4731513,37852104,0.0476190476190476
"9",22,3,2,"baseline",0,18,19952623,159620984,0.0555555555555556
"10",28,1,2,"baseline",0,4,2.66e+08,6.384e+09,0.25
"11",30,1,2,"baseline",0,6,35481339,851552136,0.166666666666667
"12",32,1,2,"baseline",0,3,47315126,1135563024,0.333333333333333
"13",18,4,3,"baseline",0,28,1122018,6732108,0.0357142857142857
"14",20,3,3,"baseline",0,21,3548134,28385072,0.0476190476190476
"15",22,3,3,"baseline",0,18,26607251,212858008,0.0555555555555556
"16",28,1,3,"baseline",0,5,63095734,1514297616,0.2
"17",30,1,3,"baseline",0,5,26607251,638574024,0.2
"18",32,1,3,"baseline",0,4,35481339,851552136,0.25
"19",24,2,1,"baseline",0,8,266072506,3192870072,0.125
"20",24,2,2,"baseline",0,8,473151259,5677815108,0.125
"21",24,2,3,"baseline",0,10,473151259,5677815108,0.1
"22",26,2,1,"baseline",0,6,841395142,10096741704,0.166666666666667
"23",26,2,2,"baseline",0,6,841395142,10096741704,0.166666666666667
"24",26,2,3,"baseline",0,8,354813389,4257760668,0.125
