"","temp","dt","replicate","condition","temp.fluct","peak.time","peak.titer","vir.rate","inf.rate"
"19",18,4,1,"fluctmin",2.5,24,19952623,119715738,0.0416666666666667
"20",20,3,1,"fluctmin",2.5,21,8413951,67311608,0.0476190476190476
"21",22,3,1,"fluctmin",2.5,18,35481338.92,283850711.36,0.0555555555555556
"22",28,1,1,"fluctmin",2.5,5,1.5e+08,3.6e+09,0.2
"23",30,1,1,"fluctmin",2.5,6,63095734,1514297616,0.166666666666667
"24",32,1,1,"fluctmin",2.5,4,84139514,2019348336,0.25
"25",18,4,2,"fluctmin",2.5,20,14962357,89774142,0.05
"26",20,3,2,"fluctmin",2.5,21,6309573,50476584,0.0476190476190476
"27",22,3,2,"fluctmin",2.5,12,35481338.92,283850711.36,0.0833333333333333
"28",28,1,2,"fluctmin",2.5,4,3.55e+08,8.52e+09,0.25
"29",30,1,2,"fluctmin",2.5,5,63095734,1514297616,0.2
"30",32,1,2,"fluctmin",2.5,3,47315126,1135563024,0.333333333333333
"31",18,4,3,"fluctmin",2.5,24,8413951,50483706,0.0416666666666667
"32",20,3,3,"fluctmin",2.5,21,8413951,67311608,0.0476190476190476
"33",22,3,3,"fluctmin",2.5,12,35481338.92,283850711.36,0.0833333333333333
"34",28,1,3,"fluctmin",2.5,4,63095734,1514297616,0.25
"35",30,1,3,"fluctmin",2.5,5,63095734,1514297616,0.2
"36",32,1,3,"fluctmin",2.5,4,35481339,851552136,0.25
