step,time,temperature,mean.temp,DTR
1,0,16.32404716,18,5
2,6,15.787912,18,5
3,9,18.72683826,18,5
4,11.5,20.35563929,18,5
5,13,20.76052148,18,5
6,14,20.76052148,18,5
7,15.5,20.35563929,18,5
8,18,18.72683826,18,5
9,20,17.50987169,18,5
10,22,16.77174415,18,5
1,0,18.32404716,20,5
2,6,17.787912,20,5
3,9,20.72683826,20,5
4,11.5,22.35563929,20,5
5,13,22.76052148,20,5
6,14,22.76052148,20,5
7,15.5,22.35563929,20,5
8,18,20.72683826,20,5
9,20,19.50987169,20,5
10,22,18.77174415,20,5
1,0,20.32404716,22,5
2,6,19.787912,22,5
3,9,22.72683826,22,5
4,11.5,24.35563929,22,5
5,13,24.76052148,22,5
6,14,24.76052148,22,5
7,15.5,24.35563929,22,5
8,18,22.72683826,22,5
9,20,21.50987169,22,5
10,22,20.77174415,22,5
1,0,22.32404716,24,5
2,6,21.787912,24,5
3,9,24.72683826,24,5
4,11.5,26.35563929,24,5
5,13,26.76052148,24,5
6,14,26.76052148,24,5
7,15.5,26.35563929,24,5
8,18,24.72683826,24,5
9,20,23.50987169,24,5
10,22,22.77174415,24,5
1,0,24.32404716,26,5
2,6,23.787912,26,5
3,9,26.72683826,26,5
4,11.5,28.35563929,26,5
5,13,28.76052148,26,5
6,14,28.76052148,26,5
7,15.5,28.35563929,26,5
8,18,26.72683826,26,5
9,20,25.50987169,26,5
10,22,24.77174415,26,5
1,0,26.32404716,28,5
2,6,25.787912,28,5
3,9,28.72683826,28,5
4,11.5,30.35563929,28,5
5,13,30.76052148,28,5
6,14,30.76052148,28,5
7,15.5,30.35563929,28,5
8,18,28.72683826,28,5
9,20,27.50987169,28,5
10,22,26.77174415,28,5
1,0,28.32404716,30,5
2,6,27.787912,30,5
3,9,30.72683826,30,5
4,11.5,32.35563929,30,5
5,13,32.76052148,30,5
6,14,32.76052148,30,5
7,15.5,32.35563929,30,5
8,18,30.72683826,30,5
9,20,29.50987169,30,5
10,22,28.77174415,30,5
1,0,30.32404716,32,5
2,6,29.787912,32,5
3,9,32.72683826,32,5
4,11.5,34.35563929,32,5
5,13,34.76052148,32,5
6,14,34.76052148,32,5
7,15.5,34.35563929,32,5
8,18,32.72683826,32,5
9,20,31.50987169,32,5
10,22,30.77174415,32,5
1,0,14.64809433,18,10
2,6,13.575824,18,10
3,9,19.45367652,18,10
4,11.5,22.71127858,18,10
5,13,23.52104295,18,10
6,14,23.52104295,18,10
7,15.5,22.71127858,18,10
8,18,19.45367652,18,10
9,20,17.01974337,18,10
10,22,15.54348829,18,10
1,0,16.64809433,20,10
2,6,15.575824,20,10
3,9,21.45367652,20,10
4,11.5,24.71127858,20,10
5,13,25.52104295,20,10
6,14,25.52104295,20,10
7,15.5,24.71127858,20,10
8,18,21.45367652,20,10
9,20,19.01974337,20,10
10,22,17.54348829,20,10
1,0,18.64809433,22,10
2,6,17.575824,22,10
3,9,23.45367652,22,10
4,11.5,26.71127858,22,10
5,13,27.52104295,22,10
6,14,27.52104295,22,10
7,15.5,26.71127858,22,10
8,18,23.45367652,22,10
9,20,21.01974337,22,10
10,22,19.54348829,22,10
1,0,20.64809433,24,10
2,6,19.575824,24,10
3,9,25.45367652,24,10
4,11.5,28.71127858,24,10
5,13,29.52104295,24,10
6,14,29.52104295,24,10
7,15.5,28.71127858,24,10
8,18,25.45367652,24,10
9,20,23.01974337,24,10
10,22,21.54348829,24,10
1,0,22.6,26,10
2,6,21.6,26,10
3,9,27.5,26,10
4,11.5,30.7,26,10
5,13,31.5,26,10
6,14,31.5,26,10
7,15.5,30.7,26,10
8,18,27.5,26,10
9,20,25,26,10
10,22,23.5,26,10
1,0,24.64809433,28,10
2,6,23.575824,28,10
3,9,29.45367652,28,10
4,11.5,32.71127858,28,10
5,13,33.52104295,28,10
6,14,33.52104295,28,10
7,15.5,32.71127858,28,10
8,18,29.45367652,28,10
9,20,27.01974337,28,10
10,22,25.54348829,28,10
1,0,26.64809433,30,10
2,6,25.575824,30,10
3,9,31.45367652,30,10
4,11.5,34.71127858,30,10
5,13,35.52104295,30,10
6,14,35.52104295,30,10
7,15.5,34.71127858,30,10
8,18,31.45367652,30,10
9,20,29.01974337,30,10
10,22,27.54348829,30,10
1,0,28.64809433,32,10
2,6,27.575824,32,10
3,9,33.45367652,32,10
4,11.5,36.71127858,32,10
5,13,37.52104295,32,10
6,14,37.52104295,32,10
7,15.5,36.71127858,32,10
8,18,33.45367652,32,10
9,20,31.01974337,32,10
10,22,29.54348829,32,10
